tweet_id,tweet_text,retweet_user
1876100553232814292,"RT @metmidnights: como nao??? ela tem ate uma musica sobre isso

https://t.co/LL1UoabWs4",@metmidnights
1876100554575020043,"RT @Di_BreathyVoice: @Dimaterry1 @dimash_official WE ARE STRONGER TOGETHER 
Qué gran suerte la mía porque tengo su música embelleciendo cad…",@Di_BreathyVoice
1876100554956632539,"RT @Nico2021cl: No se trata de ser racista. Es constatación de realidad nomás. Buena parte de los venecos q han llegado acá, son incompatib…",@Nico2021cl
1876100558471487990,RT @whotfckisfrank: imagina estar odiándome y yo mientras así todos los días evitando la realidad con música https://t.co/JD4LFIqr3g,@whotfckisfrank
1876100559473917965,RT @Mattlockss: No quiero coger flaco quiero que nos tomemos 5 fernets mientras jugamos al tutti frutti y te rompo bien el orto  por puntos…,@Mattlockss
1876100560094704039,"RT @joasmonet: acho incrível como a beyoncé encaixou love on top com uma música de 1969 do jackson 5 na on the run tour (2014), essa versão…",@joasmonet
1876100561772425719,RT @malikinhoo_: a forma como ele cantou essa música uma vez e mudou tudo pra sempre!!! https://t.co/bH3narxERt,@malikinhoo_
1876100562359656894,@dohqixote amg consigo surto até mais quando a música e o livro tá na msm vibe,False
1876100562485481587,RT @itsmevitoor: eu sou exatamente assim escutando qualquer música da Rihanna https://t.co/kA1FZFBs5Y,@itsmevitoor
1876100563903148271,"pause/printe o gif

e veja qual música ou álbum será sua vibe de 2025✨ https://t.co/zGYJpj5AeB",False
1876100564909793632,"Como pode alguém escrever algo tão forte assim? Essa música é inexplicável! Amo amo amo amo e amo

Even on my worst day, did I deserve, babe
All the hell you gave me?
'Cause I loved you, I swear I loved you
Till my dying day… https://t.co/r5YUSh8ReZ",False
1876100569146048985,RT @Mattlockss: No quiero coger flaco quiero que nos tomemos 5 fernets mientras jugamos al tutti frutti y te rompo bien el orto  por puntos…,@Mattlockss
1876100571134140519,"RT @d2mnbfBJt1r8OoU: #冬 #音楽 #歌 #ラジオ #歌手 #邦ロック #ライブ #coversong #rock #70s #goodmusic #worldmusic #music #musica #musik #songs

#FMHO #FMHOPE…",@d2mnbfBJt1r8OoU
